id_solicitud,edad,antiguedad_negocio_anios,ingreso_mensual,monto_solicitado,deuda_actual,tiene_historial_crediticio,canal,region,es_mujer_emprendedora,incumplio
SOL-000161,52,6.5,6459.0,16296.0,946.0,0,presencial,arequipa,1,0
SOL-000162,34,6.0,3607.0,10541.0,5735.0,1,digital,arequipa,1,0
SOL-000163,37,2.5,2771.0,9638.0,7280.0,1,presencial,lima,1,0
SOL-000164,44,2.5,6577.0,18373.0,4518.0,1,presencial,arequipa,0,0
SOL-000165,61,6.9,5410.0,10167.0,6939.0,1,presencial,trujillo,1,0
SOL-000166,31,7.8,2652.0,7208.0,2101.0,0,presencial,arequipa,1,0
SOL-000167,23,3.1,2051.0,6250.0,3299.0,0,digital,arequipa,1,1
SOL-000168,25,6.7,4508.0,15406.0,1613.0,0,digital,lima,0,0
SOL-000169,38,2.5,5738.0,23221.0,6128.0,1,presencial,lima,1,0
SOL-000170,32,0.3,1227.0,2602.0,2457.0,1,digital,arequipa,1,0
SOL-000171,54,6.0,2269.0,7114.0,1260.0,1,presencial,trujillo,1,0
SOL-000172,48,2.5,5495.0,14803.0,10326.0,1,presencial,lima,0,0
SOL-000173,44,1.5,2078.0,7334.0,3200.0,0,presencial,lima,1,1
SOL-000174,35,1.4,4072.0,16737.0,869.0,0,digital,lima,1,0
SOL-000175,50,7.6,10474.0,30155.0,3908.0,0,presencial,lima,0,0
SOL-000176,25,6.4,4648.0,18671.0,7953.0,1,presencial,trujillo,1,0
SOL-000177,55,12.1,2369.0,3331.0,872.0,1,presencial,arequipa,1,0
SOL-000178,23,5.1,2937.0,12417.0,56.0,0,digital,lima,0,0
SOL-000179,27,1.0,4589.0,17642.0,4545.0,0,digital,lima,1,1
SOL-000180,36,6.3,2821.0,5120.0,2599.0,0,digital,lima,1,0
SOL-000181,31,2.0,3446.0,12038.0,5628.0,1,digital,lima,1,0
SOL-000182,37,3.1,1768.0,5294.0,4364.0,1,digital,lima,0,0
SOL-000183,45,3.6,2627.0,11583.0,2436.0,1,presencial,trujillo,0,0
SOL-000184,40,2.3,6131.0,14368.0,7207.0,1,presencial,arequipa,0,0
SOL-000185,49,22.5,1850.0,6083.0,250.0,1,digital,lima,1,0
SOL-000186,40,1.6,698.0,2109.0,414.0,1,digital,arequipa,1,1
SOL-000187,46,1.4,3264.0,6807.0,16069.0,1,presencial,arequipa,1,0
SOL-000188,51,8.5,4507.0,17678.0,6367.0,1,presencial,lima,1,0
SOL-000189,24,0.2,4646.0,17206.0,11842.0,0,digital,arequipa,1,0
SOL-000190,67,5.0,9007.0,27803.0,5297.0,0,presencial,arequipa,1,0
SOL-000191,20,7.7,2800.0,12114.0,1388.0,1,digital,trujillo,1,0
SOL-000192,44,2.1,5391.0,23034.0,2591.0,1,presencial,lima,1,0
SOL-000193,40,5.6,4075.0,16038.0,7952.0,1,presencial,lima,1,0
SOL-000194,28,2.9,3221.0,6031.0,2295.0,1,digital,lima,1,0
SOL-000195,38,3.2,3473.0,14489.0,446.0,1,presencial,lima,1,0
SOL-000196,35,12.2,4680.0,10989.0,3644.0,1,presencial,lima,1,0
SOL-000197,56,4.5,2619.0,8295.0,1334.0,1,presencial,arequipa,1,0
SOL-000198,19,6.8,7502.0,33172.0,15408.0,1,digital,lima,1,0
SOL-000199,54,9.8,1104.0,2336.0,4285.0,1,presencial,lima,1,0
SOL-000200,50,4.9,5151.0,10401.0,695.0,1,presencial,trujillo,0,0
SOL-000201,28,1.0,3164.0,12786.0,4603.0,0,digital,lima,0,1
SOL-000202,38,8.3,3250.0,4682.0,7488.0,0,digital,lima,0,1
SOL-000203,41,5.0,2069.0,4014.0,3543.0,1,presencial,arequipa,0,0
SOL-000204,31,5.4,1599.0,3861.0,803.0,1,presencial,lima,0,0
SOL-000205,31,4.3,5245.0,19347.0,3359.0,1,presencial,lima,1,0
SOL-000206,50,9.7,7687.0,22211.0,6884.0,1,presencial,arequipa,0,0
SOL-000207,50,2.4,4292.0,11242.0,1769.0,1,presencial,lima,1,0
SOL-000208,35,3.8,4073.0,17303.0,4395.0,1,digital,lima,1,0
SOL-000209,39,2.7,3016.0,11290.0,8116.0,1,presencial,lima,1,0
SOL-000210,41,4.3,4548.0,15289.0,6537.0,1,presencial,trujillo,1,0
SOL-000211,28,8.9,5068.0,12437.0,433.0,0,digital,lima,0,0
SOL-000212,24,10.4,3252.0,13211.0,2587.0,1,presencial,arequipa,1,0
SOL-000213,44,4.8,7091.0,15491.0,25343.0,1,presencial,lima,0,0
SOL-000214,38,5.1,1145.0,4961.0,406.0,0,digital,arequipa,0,0
SOL-000215,33,5.0,1948.0,4300.0,3328.0,1,digital,lima,1,0
SOL-000216,51,1.1,3559.0,14031.0,766.0,0,digital,lima,1,0
SOL-000217,32,7.7,10295.0,43590.0,14677.0,1,presencial,lima,1,0
SOL-000218,36,2.9,3856.0,8106.0,2472.0,1,presencial,arequipa,1,0
SOL-000219,33,2.5,1565.0,3304.0,4654.0,0,digital,lima,0,1
SOL-000220,46,1.4,10175.0,16724.0,30101.0,1,presencial,lima,0,0
SOL-000221,22,8.6,3585.0,8812.0,512.0,1,presencial,lima,0,0
SOL-000222,50,9.7,5408.0,15958.0,4177.0,1,presencial,lima,1,0
SOL-000223,35,5.2,2252.0,3753.0,1294.0,0,digital,arequipa,0,0
SOL-000224,19,4.0,2885.0,5348.0,4811.0,0,digital,lima,0,1
SOL-000225,42,4.0,2857.0,7739.0,2076.0,1,presencial,lima,1,0
SOL-000226,23,7.1,8667.0,16974.0,23538.0,1,digital,lima,1,0
SOL-000227,38,13.9,7111.0,27006.0,4793.0,1,presencial,lima,1,0
SOL-000228,28,3.2,9599.0,23034.0,9800.0,1,presencial,lima,1,0
SOL-000229,48,4.8,2540.0,3921.0,1880.0,0,presencial,lima,0,0
SOL-000230,62,2.6,1482.0,2785.0,2486.0,1,presencial,lima,0,0
SOL-000231,46,5.6,3287.0,7732.0,10282.0,1,presencial,trujillo,1,0
SOL-000232,19,4.3,14166.0,26235.0,28203.0,1,presencial,lima,0,0
SOL-000233,35,3.5,2266.0,4687.0,1413.0,1,digital,trujillo,1,0
SOL-000234,41,8.8,6614.0,13495.0,1393.0,1,presencial,lima,1,0
SOL-000235,20,8.7,1572.0,4241.0,644.0,0,digital,lima,0,0
SOL-000236,36,0.7,1741.0,5266.0,4404.0,0,digital,lima,0,1
SOL-000237,53,6.5,3672.0,12228.0,3877.0,1,presencial,lima,0,0
SOL-000238,25,10.6,8025.0,33858.0,9295.0,1,digital,arequipa,1,0
SOL-000239,25,7.5,6783.0,23964.0,12847.0,1,presencial,trujillo,0,0
SOL-000240,21,2.7,1316.0,2653.0,1205.0,1,presencial,arequipa,0,0
SOL-000241,25,8.4,3790.0,10584.0,8002.0,0,digital,arequipa,1,1
SOL-000242,30,6.2,1474.0,5397.0,1103.0,0,digital,lima,1,1
SOL-000243,37,7.3,2685.0,8380.0,1590.0,1,presencial,lima,1,0
SOL-000244,35,4.7,4991.0,9608.0,1241.0,1,presencial,arequipa,0,0
SOL-000245,49,7.0,7920.0,30423.0,259.0,1,presencial,lima,0,0
SOL-000246,37,21.6,5404.0,10860.0,5828.0,0,digital,lima,1,0
SOL-000247,45,1.2,4548.0,11222.0,8141.0,1,presencial,trujillo,1,0
SOL-000248,52,4.1,4581.0,16832.0,8150.0,0,presencial,trujillo,0,0
SOL-000249,36,4.4,7708.0,33954.0,20127.0,1,presencial,arequipa,1,0
SOL-000250,31,0.6,1687.0,7018.0,1438.0,1,presencial,lima,1,0
SOL-000251,37,17.0,9899.0,43619.0,25533.0,1,presencial,trujillo,1,0
SOL-000252,25,1.0,1827.0,4805.0,1757.0,1,digital,lima,1,0
SOL-000253,20,2.5,4383.0,12058.0,1066.0,1,presencial,lima,0,0
SOL-000254,37,1.7,2957.0,5633.0,4126.0,1,presencial,lima,1,0
SOL-000255,55,4.1,2098.0,6011.0,556.0,0,presencial,trujillo,1,0
SOL-000256,41,5.7,3406.0,13009.0,2900.0,0,digital,trujillo,0,0
SOL-000257,38,3.7,3030.0,4889.0,6788.0,0,digital,arequipa,0,0
SOL-000258,44,2.9,3623.0,8655.0,36.0,1,presencial,lima,1,0
SOL-000259,59,7.0,3536.0,15096.0,3573.0,1,presencial,lima,1,0
SOL-000260,31,5.4,8463.0,16638.0,3594.0,1,presencial,lima,0,0
SOL-000261,32,11.3,11971.0,27786.0,26940.0,1,presencial,trujillo,1,0
SOL-000262,44,1.9,5140.0,22095.0,17266.0,0,digital,lima,1,1
SOL-000263,43,3.3,4422.0,10917.0,3055.0,1,presencial,lima,1,0
SOL-000264,36,9.0,1634.0,6497.0,2618.0,1,presencial,arequipa,1,1
SOL-000265,38,0.9,3712.0,8501.0,541.0,0,digital,lima,0,0
SOL-000266,38,1.7,5427.0,11922.0,6559.0,0,presencial,trujillo,1,0
SOL-000267,34,5.3,5716.0,11318.0,1703.0,1,presencial,lima,1,0
SOL-000268,33,7.4,2115.0,3372.0,736.0,1,presencial,trujillo,1,0
SOL-000269,47,1.6,5955.0,16005.0,4723.0,0,presencial,lima,1,0
SOL-000270,45,9.6,8622.0,31139.0,3050.0,1,presencial,lima,1,0
SOL-000271,60,1.4,2296.0,6811.0,2884.0,1,presencial,lima,0,0
SOL-000272,40,3.6,5464.0,14549.0,5024.0,0,presencial,lima,1,0
SOL-000273,40,5.4,2510.0,5105.0,1155.0,1,presencial,arequipa,1,0
SOL-000274,59,12.0,3626.0,12759.0,1521.0,1,presencial,lima,1,0
SOL-000275,43,10.8,1636.0,3573.0,2374.0,0,digital,lima,0,0
SOL-000276,45,6.0,3190.0,4783.0,5637.0,1,presencial,arequipa,1,0
SOL-000277,26,4.0,3202.0,14057.0,3228.0,1,presencial,lima,0,0
SOL-000278,34,4.2,4743.0,20498.0,7815.0,0,presencial,arequipa,0,0
SOL-000279,20,14.5,4257.0,8790.0,1091.0,0,digital,arequipa,1,0
SOL-000280,32,9.2,5043.0,10790.0,1567.0,1,digital,lima,1,0
SOL-000281,37,6.9,2727.0,8722.0,1311.0,1,presencial,arequipa,1,0
SOL-000282,61,6.2,4615.0,12576.0,1054.0,0,presencial,lima,0,0
SOL-000283,26,5.8,2162.0,8977.0,1538.0,1,presencial,lima,0,0
SOL-000284,30,1.2,3614.0,9842.0,1410.0,1,presencial,lima,1,0
SOL-000285,46,0.4,3914.0,7128.0,2318.0,1,presencial,trujillo,0,0
SOL-000286,49,4.6,2369.0,7331.0,815.0,0,presencial,arequipa,1,0
SOL-000287,19,2.3,5119.0,8964.0,2867.0,0,presencial,lima,1,1
SOL-000288,24,6.2,3530.0,9836.0,3219.0,1,presencial,trujillo,0,0
SOL-000289,40,5.9,4148.0,13230.0,6560.0,0,presencial,lima,0,0
SOL-000290,58,1.6,7235.0,31332.0,17640.0,1,presencial,trujillo,1,0
SOL-000291,53,4.7,2145.0,4954.0,1453.0,0,digital,arequipa,0,0
SOL-000292,38,6.5,5956.0,20329.0,2273.0,1,presencial,trujillo,0,0
SOL-000293,30,4.8,5674.0,7947.0,480.0,0,digital,trujillo,1,0
SOL-000294,34,3.5,7851.0,32201.0,33975.0,1,presencial,trujillo,0,0
SOL-000295,39,5.6,2430.0,5791.0,4217.0,1,digital,lima,1,0
SOL-000296,49,5.9,1616.0,3469.0,1695.0,1,digital,arequipa,0,0
SOL-000297,46,5.6,1852.0,3181.0,300.0,1,digital,trujillo,0,0
SOL-000298,32,2.9,1174.0,4501.0,26.0,0,digital,arequipa,1,0
SOL-000299,23,11.4,3828.0,6031.0,301.0,0,digital,lima,1,0
SOL-000300,43,11.4,5648.0,18725.0,2830.0,1,presencial,trujillo,1,0
SOL-000301,47,4.0,2848.0,6773.0,1151.0,0,digital,lima,1,1
SOL-000302,39,3.3,1871.0,6744.0,689.0,0,presencial,lima,1,0
SOL-000303,23,3.0,3165.0,13907.0,1384.0,0,presencial,lima,0,1
SOL-000304,39,7.6,7846.0,17670.0,15560.0,1,presencial,lima,1,0
SOL-000305,29,0.4,3679.0,12218.0,589.0,0,digital,arequipa,1,0
SOL-000306,23,8.0,5751.0,14657.0,1388.0,0,presencial,lima,1,0
SOL-000307,46,1.8,21380.0,63696.0,5416.0,1,presencial,arequipa,1,0
SOL-000308,49,5.0,4540.0,7528.0,2205.0,1,presencial,trujillo,0,0
SOL-000309,63,7.6,1246.0,2534.0,103.0,1,presencial,lima,0,0
SOL-000310,28,3.1,2159.0,8338.0,2940.0,1,presencial,arequipa,1,1
SOL-000311,51,9.5,4487.0,11080.0,1689.0,1,presencial,lima,0,0
SOL-000312,54,4.1,3865.0,5423.0,2801.0,1,presencial,trujillo,1,0
SOL-000313,49,5.3,3500.0,8381.0,3035.0,0,presencial,trujillo,1,0
SOL-000314,32,1.0,3532.0,12277.0,2066.0,1,presencial,lima,1,0
SOL-000315,31,1.8,2546.0,11233.0,4486.0,1,presencial,arequipa,0,1
SOL-000316,44,1.0,4649.0,18818.0,11071.0,1,presencial,lima,1,0
SOL-000317,44,8.5,7904.0,29611.0,1463.0,1,presencial,lima,0,0
SOL-000318,26,2.4,6595.0,28232.0,2341.0,0,digital,arequipa,1,0
SOL-000319,57,10.1,9284.0,31976.0,2546.0,1,presencial,lima,1,0
SOL-000320,28,0.2,1630.0,4905.0,208.0,0,digital,arequipa,0,0
SOL-000321,19,5.4,2651.0,8146.0,4050.0,0,digital,lima,1,1
SOL-000322,41,1.0,3251.0,14068.0,4075.0,1,presencial,lima,1,0
SOL-000323,48,2.9,5207.0,7324.0,1921.0,1,presencial,trujillo,1,0
SOL-000324,47,5.0,3667.0,10996.0,1290.0,1,presencial,lima,1,0
SOL-000325,36,2.3,2383.0,9018.0,2432.0,0,digital,arequipa,1,1
SOL-000326,59,6.4,8155.0,12380.0,5132.0,0,presencial,lima,1,0
SOL-000327,20,1.9,2820.0,11144.0,2932.0,0,digital,trujillo,1,0
SOL-000328,38,4.6,4083.0,16399.0,1810.0,1,presencial,arequipa,1,0
SOL-000329,60,2.5,4745.0,14345.0,4475.0,0,presencial,lima,1,0
SOL-000330,21,7.8,5440.0,21593.0,9996.0,1,presencial,lima,1,0
SOL-000331,31,4.2,3820.0,7037.0,2785.0,1,digital,lima,1,0
SOL-000332,57,7.0,8579.0,37091.0,9105.0,1,presencial,trujillo,0,0
SOL-000333,45,3.6,1373.0,2130.0,916.0,1,digital,lima,0,0
SOL-000334,39,7.1,3172.0,4807.0,4534.0,1,digital,lima,1,0
